index,type,start_ms,duration_ms,units
1,MARK,0.000000,0.062500,1
2,SPACE,0.062500,5.248188,13
3,MARK,5.310688,0.125000,1
4,SPACE,5.435688,5.208375,13
5,MARK,10.644063,0.125000,1
6,SPACE,10.769063,4.836938,12
7,MARK,15.606000,0.125000,1
8,SPACE,15.731000,4.853187,12
9,MARK,20.584187,0.125000,1
10,SPACE,20.709187,3.964375,10
11,MARK,24.673562,0.125000,1
12,SPACE,24.798562,2.040188,5
13,MARK,26.838750,0.125000,1
14,SPACE,26.963750,5.207250,13
15,MARK,32.171000,0.125000,1
16,SPACE,32.296000,5.361813,13
17,MARK,37.657812,0.125000,1
18,SPACE,37.782812,7.755000,19
19,MARK,45.537812,0.125000,1
20,SPACE,45.662812,5.461875,13
21,MARK,51.124688,0.125000,1
22,SPACE,51.249688,7.303562,18
23,MARK,58.553250,0.125000,1
24,SPACE,58.678250,5.867625,14
25,MARK,64.545875,0.125000,1
26,SPACE,64.670875,6.493375,16
27,MARK,71.164250,0.125000,1
28,SPACE,71.289250,6.690500,16
29,MARK,77.979750,0.125000,1
30,SPACE,78.104750,6.490375,16
31,MARK,84.595125,0.125000,1
32,SPACE,84.720125,5.237813,13
33,MARK,89.957937,0.125000,1
34,SPACE,90.082937,7.936625,19
35,MARK,98.019563,0.125000,1
36,SPACE,98.144563,5.238313,13
37,MARK,103.382875,0.125000,1
38,SPACE,103.507875,5.458375,13
39,MARK,108.966250,0.125000,1
40,SPACE,109.091250,7.726125,19
41,MARK,116.817375,0.125000,1
42,SPACE,116.942375,5.454063,13
43,MARK,122.396437,0.125000,1
44,SPACE,122.521437,7.314375,18
45,MARK,129.835813,0.125000,1
46,SPACE,129.960813,5.872562,14
47,MARK,135.833375,0.125000,1
48,SPACE,135.958375,6.471813,16
49,MARK,142.430187,0.125000,1
50,SPACE,142.555188,6.697938,16
51,MARK,149.253125,0.125000,1
52,SPACE,149.378125,6.483125,16
53,MARK,155.861250,0.125000,1
54,SPACE,155.986250,5.258125,13
55,MARK,161.244375,0.125000,1
56,SPACE,161.369375,7.927688,19
57,MARK,169.297063,0.125000,1
58,SPACE,169.422063,5.241937,13
59,MARK,174.664000,0.125000,1
60,SPACE,174.789000,5.452437,13
61,MARK,180.241437,0.125000,1
62,SPACE,180.366438,7.729500,19
63,MARK,188.095937,0.125000,1
64,SPACE,188.220937,5.448563,13
65,MARK,193.669500,0.125000,1
66,SPACE,193.794500,7.314125,18
67,MARK,201.108625,0.125000,1
68,SPACE,201.233625,5.859688,14
69,MARK,207.093312,0.125000,1
70,SPACE,207.218312,6.488875,16
71,MARK,213.707188,0.125000,1
72,SPACE,213.832188,6.694625,16
73,MARK,220.526813,0.125000,1
74,SPACE,220.651812,6.486625,16
75,MARK,227.138438,0.125000,1
76,SPACE,227.263438,5.248812,13
77,MARK,232.512250,0.125000,1
78,SPACE,232.637250,7.930312,19
79,MARK,240.567563,0.125000,1
80,SPACE,240.692563,5.245688,13
81,MARK,245.938250,0.125000,1
82,SPACE,246.063250,5.451625,13
83,MARK,251.514875,0.125000,1
84,SPACE,251.639875,7.731500,19
85,MARK,259.371375,0.125000,1
86,SPACE,259.496375,5.445375,13
87,MARK,264.941750,0.125000,1
88,SPACE,265.066750,7.320562,18
89,MARK,272.387312,0.125000,1
90,SPACE,272.512313,5.867000,14
91,MARK,278.379312,0.125000,1
92,SPACE,278.504313,6.477812,16
93,MARK,284.982125,0.125000,1
94,SPACE,285.107125,6.698250,16
95,MARK,291.805375,0.125000,1
96,SPACE,291.930375,6.480250,16
97,MARK,298.410625,0.125000,1
98,SPACE,298.535625,5.249062,13
99,MARK,303.784687,0.125000,1
100,SPACE,303.909688,7.929438,19
101,MARK,311.839125,0.125000,1
102,SPACE,311.964125,5.256125,13
103,MARK,317.220250,0.125000,1
104,SPACE,317.345250,5.449500,13
105,MARK,322.794750,0.125000,1
106,SPACE,322.919750,7.720187,19
107,MARK,330.639937,0.125000,1
108,SPACE,330.764938,5.455125,13
109,MARK,336.220063,0.062500,1
