index,type,start_ms,duration_ms,units
1,MARK,0.000000,1.997938,5
2,SPACE,1.997938,0.412750,1
3,MARK,2.410687,0.410250,1
4,SPACE,2.820937,0.384688,1
5,MARK,3.205625,0.387313,1
6,SPACE,3.592938,0.826500,2
7,MARK,4.419437,0.903250,2
8,SPACE,5.322687,0.414000,1
9,MARK,5.736687,0.774938,2
10,SPACE,6.511625,0.386375,1
11,MARK,6.898000,0.387125,1
12,SPACE,7.285125,0.414375,1
13,MARK,7.699500,0.515938,1
14,SPACE,8.215438,0.930250,2
15,MARK,9.145687,1.291937,3
16,SPACE,10.437625,0.411687,1
17,MARK,10.849312,0.388437,1
18,SPACE,11.237750,0.414062,1
19,MARK,11.651813,0.387062,1
20,SPACE,12.038875,0.412438,1
21,MARK,12.451313,0.538438,1
22,SPACE,12.989750,1.327875,3
23,MARK,14.317625,1.934625,5
24,SPACE,16.252250,0.413375,1
25,MARK,16.665625,0.388875,1
26,SPACE,17.054500,0.411750,1
27,MARK,17.466250,0.387875,1
28,SPACE,17.854125,0.826687,2
29,MARK,18.680813,0.903500,2
30,SPACE,19.584312,0.413938,1
31,MARK,19.998250,0.774500,2
32,SPACE,20.772750,0.412187,1
33,MARK,21.184938,0.387875,1
34,SPACE,21.572813,0.413625,1
35,MARK,21.986438,0.387000,1
36,SPACE,22.373437,0.928937,2
37,MARK,23.302375,1.421812,3
38,SPACE,24.724188,0.412125,1
39,MARK,25.136312,0.388250,1
40,SPACE,25.524563,0.413875,1
41,MARK,25.938438,0.388000,1
42,SPACE,26.326438,0.412000,1
43,MARK,26.738437,0.388250,1
44,SPACE,27.126687,1.343375,3
45,MARK,28.470063,2.062688,5
46,SPACE,30.532750,0.415438,1
47,MARK,30.948187,0.386813,1
48,SPACE,31.335000,0.411687,1
49,MARK,31.746688,0.387812,1
50,SPACE,32.134500,0.826750,2
51,MARK,32.961250,0.774562,2
52,SPACE,33.735812,0.412500,1
53,MARK,34.148313,0.904875,2
54,SPACE,35.053187,0.412062,1
55,MARK,35.465250,0.388063,1
56,SPACE,35.853313,0.413562,1
57,MARK,36.266875,0.387688,1
58,SPACE,36.654563,0.928125,2
59,MARK,37.582688,1.421938,3
60,SPACE,39.004625,0.413500,1
61,MARK,39.418125,0.386875,1
62,SPACE,39.805000,0.413875,1
63,MARK,40.218875,0.387875,1
64,SPACE,40.606750,0.412125,1
65,MARK,41.018875,0.388875,1
66,SPACE,41.407750,1.342750,3
67,MARK,42.750500,1.933812,5
68,SPACE,44.684312,0.414062,1
69,MARK,45.098375,0.517063,1
70,SPACE,45.615437,0.412812,1
71,MARK,46.028250,0.386687,1
72,SPACE,46.414938,0.826750,2
73,MARK,47.241687,0.775375,2
74,SPACE,48.017063,0.411562,1
75,MARK,48.428625,0.905000,2
76,SPACE,49.333625,0.413312,1
77,MARK,49.746937,0.386813,1
78,SPACE,50.133750,0.413438,1
79,MARK,50.547187,0.387812,1
80,SPACE,50.935000,0.928187,2
81,MARK,51.863187,1.292875,3
82,SPACE,53.156062,0.413000,1
83,MARK,53.569063,0.516437,1
84,SPACE,54.085500,0.414812,1
85,MARK,54.500312,0.386938,1
86,SPACE,54.887250,0.412062,1
87,MARK,55.299313,0.388813,1
88,SPACE,55.688125,1.342812,3
89,MARK,57.030937,1.934687,5
90,SPACE,58.965625,0.413187,1
91,MARK,59.378813,0.388188,1
92,SPACE,59.767000,0.412438,1
93,MARK,60.179437,0.515938,1
94,SPACE,60.695375,0.827875,2
95,MARK,61.523250,0.774250,2
96,SPACE,62.297500,0.411562,1
97,MARK,62.709062,0.776000,2
98,SPACE,63.485062,0.413062,1
99,MARK,63.898125,0.516062,1
100,SPACE,64.414187,0.414500,1
101,MARK,64.828688,0.386750,1
102,SPACE,65.215438,0.928312,2
103,MARK,66.143750,1.293813,3
104,SPACE,67.437563,0.411937,1
105,MARK,67.849500,0.387437,1
106,SPACE,68.236937,0.414812,1
107,MARK,68.651750,0.515938,1
108,SPACE,69.167687,0.414187,1
109,MARK,69.581875,0.386687,1
110,SPACE,69.968563,1.342875,3
111,MARK,71.311438,1.934500,5
112,SPACE,73.245937,0.413312,1
113,MARK,73.659250,0.388937,1
114,SPACE,74.048187,0.411687,1
115,MARK,74.459875,0.387437,1
116,SPACE,74.847313,0.827250,2
117,MARK,75.674563,0.903375,2
118,SPACE,76.577938,0.411750,1
119,MARK,76.989688,0.776813,2
120,SPACE,77.766500,0.412062,1
121,MARK,78.178563,0.386938,1
122,SPACE,78.565500,0.414563,1
123,MARK,78.980063,0.515938,1
124,SPACE,79.496000,0.930437,2
125,MARK,80.426438,1.291438,3
126,SPACE,81.717875,0.412062,1
127,MARK,82.129937,0.388313,1
128,SPACE,82.518250,0.413813,1
129,MARK,82.932063,0.387062,1
130,SPACE,83.319125,0.412938,1
131,MARK,83.732062,0.517063,1
132,SPACE,84.249125,1.342625,3
133,MARK,85.591750,1.934625,5
134,SPACE,87.526375,0.413375,1
135,MARK,87.939750,0.388875,1
136,SPACE,88.328625,0.411750,1
137,MARK,88.740375,0.387875,1
138,SPACE,89.128250,0.826687,2
139,MARK,89.954937,0.903438,2
140,SPACE,90.858375,0.414000,1
141,MARK,91.272375,0.774438,2
142,SPACE,92.046813,0.412250,1
143,MARK,92.459062,0.387875,1
144,SPACE,92.846938,0.413625,1
145,MARK,93.260563,0.387000,1
146,SPACE,93.647563,0.928937,2
147,MARK,94.576500,1.421812,3
148,SPACE,95.998312,0.412062,1
149,MARK,96.410375,0.388313,1
150,SPACE,96.798687,0.413813,1
151,MARK,97.212500,0.388063,1
152,SPACE,97.600562,0.411937,1
153,MARK,98.012500,0.388313,1
154,SPACE,98.400813,1.343375,3
155,MARK,99.744187,2.062625,5
156,SPACE,101.806812,0.415500,1
157,MARK,102.222313,0.386750,1
158,SPACE,102.609063,0.411750,1
159,MARK,103.020813,0.387750,1
160,SPACE,103.408563,0.826812,2
161,MARK,104.235375,0.774562,2
162,SPACE,105.009937,0.412500,1
163,MARK,105.422437,0.904875,2
164,SPACE,106.327313,0.412062,1
165,MARK,106.739375,0.388063,1
166,SPACE,107.127437,0.413562,1
167,MARK,107.541000,0.387688,1
168,SPACE,107.928687,0.928125,2
169,MARK,108.856813,1.421938,3
170,SPACE,110.278750,0.413500,1
171,MARK,110.692250,0.386875,1
172,SPACE,111.079125,0.413875,1
173,MARK,111.493000,0.387875,1
174,SPACE,111.880875,0.412125,1
175,MARK,112.293000,0.388875,1
176,SPACE,112.681875,1.342750,3
177,MARK,114.024625,1.933750,5
178,SPACE,115.958375,0.414125,1
179,MARK,116.372500,0.517063,1
180,SPACE,116.889562,0.412812,1
181,MARK,117.302375,0.386687,1
182,SPACE,117.689062,0.826750,2
183,MARK,118.515812,0.775375,2
184,SPACE,119.291188,0.411562,1
185,MARK,119.702750,0.905000,2
186,SPACE,120.607750,0.413312,1
